"","titulo","descricao","theme","location","target"
"14","Empowering Women's with Sustainable Livelihood","Under this project, 500 poor Women will be connected with banks by Self Help Group, who are living poverty. Here training would be provided in the area of capacity building, life skills, EDP, Orientation, goat farming, organic manure, dairy, etc, for increasing their self-confidence level, livelihood growth and empowerment.","Gender Equality","India",15
"15","Rescue Unwanted and Abandoned Companion Birds","Mickaboo Companion Bird Rescue, based in Northern California, helps birds commonly kept as indoor pets by rescuing, rehabilitating (physically and behaviorally), and re-homing them. Most of these rescued birds come to us injured, abused, or neglected, or are very ill. We usually care for about 500 birds at a time, incurring veterinary bills averaging $50,000 monthly. This project helps pay for those medical expenses.","Animal Welfare","United States",0
"16","Lifeskills 2,743 vulnerable children South Africa","Our work is exploding and we need to move our current premises. A farm will enable us to such as a farm will provide the venue, space, office and training space we require to continue our services to the children of Limpopo Province. Purchasing a farm is sound financial investment rather than ongoing renting. Through purchasing a farm we will also be able to generate a steady income for the organization and that means greater sustainability long term and more able to cope with donor delays.","Food Security","South Africa",14
"17","Fight Rising Malnutrition in Rural Guatemala","Guatemala has one of highest rates of child malnutrition in the world. Covid, climate change, and global inflation are adding to the problem. Working with community health workers and moms, we combat child malnutrition in rural Maya communities during the critical early years with education, monitoring, and treatment. This saves lives and offers better futures for the children spared from malnutrition, which is linked with future health problems and diminished success in school and work.","Physical Health","Guatemala",20
"18","Educate the Future Leaders of Sierra Leone","This project empowers students in Sierra Leone to receive an education including vocational training, computer training, and attending college, among other resources. It offers school tuition support, books, uniforms, mentoring, classroom construction, and solar lights, among other resources. This comprehensive support helps young people complete their education and become self-sufficient leaders in their communities.","Education","Sierra Leone",11
"19","Emergency Veterinary Care for Pets of the Homeless","Your donation will help a pet that belongs to a homeless person in the U.S., and Canada. We provide emergency veterinary care and pet food to the hundreds of thousands of pets that are companions to the homeless.","Animal Welfare","United States",0
"20","Protect Coral Reefs in Malaysia","Reef Check Malaysia works to conserve Malaysia's ocean and marine ecosystems. Malaysia is part of the Coral Triangle, home to more than 75% of the world's coral species. Our Projects are based in 3 locations in Malaysia - Tioman Island, Mersing group of islands, and Mantanani Island. Our teams are based on these islands, where they work with the local communities to empower them to look after the marine resources.","Climate Action","Malaysia",4
"21","Microcredit Marvels: Empowering Women","Microcredit Marvels is a transformative project dedicated to empowering women through microfinance initiatives. Our goal is to provide access to small loans and financial resources, enabling women to start and grow their own businesses. By fostering economic independence and entrepreneurship, we aim to uplift women from marginalized communities, fostering sustainable development and positive social change.","Economic Growth","India",9
"22","Plant 40,000 Trees In Northern Rwanda","Through this project, the Rwandan Youth Development and Voluntary Organization (RWAYDAVO) will plant and maintain 40,000 trees in the Northern Rwandan region, and enable environmental protection as well as economic support of the local Rwandan community in 5 rural sectors of Cyinzuzi, Burega, Kiyanza, Mugambazi, and Ntarabana. Your donation will go towards RWAYDAVO's planting and maintaining of 40,000 Trees.","Climate Action","Rwanda",4
"23","Empower, Engage, Educate in Rural Kenya!","Imagine students in rural Kenya using computers and reading books! The Kenya Connect Learning Resource Center engages and empowers students and teachers from our 63 partner schools through access to technology including STEAM programs and computer literacy for girls and boys . This coupled with programs like KC's reusable sanitary pads and empowerment programs for girls and our rent-to-own solar light and library program to boost literacy are making a profound difference in rural Kenya.","Education","Kenya",11
"24","Young EcoLeaders of the Brazilian Rainforest","Children in our remote rural area live in one of the world's top biodiversity hotspots, yet their level of understanding and appreciation for the forests is very low. Traditionally, forests are considered barriers to progress, trees are cut and animals eaten or simply killed because they are ""dangerous."" If we are to save the last great forests, we must focus on the younger generation, helping them to understand their place in the web of life and learn to love and value the forest ecosystem.","Education","Brazil",11
"25","Rescue,Love,Save-1000's of Suffering Animals.India","Known as the SHELTER WITH HEART. Our dogs/puppies run free and are happy cared for by a devoted Staff of 30 plus 3 full time vets. They're not just in captivity. They have a life. OUR BELIEF IS THAT DEEP HEALING ONLY TAKES PLACE IF A CREATURE FEELS SAFE, CARED FOR,AND LOVED. We use traditional and alternative medicine AND LOVE to lift suffering from over 7000 homeless dogs/puppies,and tens of thousands of others. 1ST-TIME PEOPLE SOMETIMES GET TEARY. THEY DIDN'T KNOW A PLACE SUCH AS OURS EXISTED.","Animal Welfare","India",0
"26","Medications for Children`s Oncological Units","Tabletochki Charity Foundation supports Ukrainian hospitals by purchasing necessary medications and medical supplies. With your help, children can receive the most effective medicines, even if they are possible to find only abroad. Your charitable donations make the children's treatment more effective and bring children closer to recovery. You can read about the impact you make in our regular reports and on social media. Ukrainian children are brave in their fight against the disease. But th","Physical Health","Ukraine",20
"27","Educate at-risk girls, end poverty cycle: Thailand","Since 1990, more than 4000 girls living in poverty, orphaned, abandoned, from broken homes or unsafe environments, have come to Dhammajarinee Witthaya School (DWS) and received a secure home, quality education, food, clothing, medical and dental care. DWS is the only free boarding school for girls administered by Buddhist nuns in Thailand. DWS serves non-Buddhist students as well, with Buddhist activities being optional. Help us fund more at-risk girls who need and desire to come.","Education","Thailand",11
"28","Support Healthcare for Women and Children in Syria","We need your support to maintain a healthy lifestyle for the war-affected women in Syria along with their newborn babies, so we can lessen the consequences of war and minimize the gap created after many reproductive health centers and hospitals became out of service. On the other hand, we would like to cross the bridge to the future with less diseases and with healthy generations that will enjoy good health to contribute to the reconstruction of the country.","Physical Health","Syrian Arab Republic",20
"29","Birth Center Saves MotherBaby Lives in Philippines","Mothers and babies die unnecessarily during childbirth in the Philippines because often families don't have money to pay a skilled birth attendant. Mercy In Action midwives provide free childbirth services and education to empower women through evidence-based maternity services and birth. Empowered mothers have healthier babies and become powerful agents of change for the family, which results in our maternal and neonatal mortality rates being 4-times lower than the country of the Philippines.","Physical Health","Philippines",20
"30","Educate 100 Children with Disabilities in Syria","In Syria, over 10,000 children with physical disabilities face educational challenges. Already burdened by the birth defects and war injuries, living in makeshift camps far from schools, they lack the necessary support and resources to continue their studies. Our goal is to extend a helping hand to these students, enabling them to receive quality education and thrive in society. With your support, we can empower more than 100 students with physical challenges. Help them learn and grow.","Disability Rights","Syrian Arab Republic",7
"31","Mangrove Restoration for Coastal Protection","The goal of the project is to create 20 hectares mangrove greenbelt through planting and regenerating 100000 mangrove together with local people in order to coastal protection, mangrove-based livelihoods promotion and biodiversity conservation, as well as climate change adaptation and mitigation. Once there were plenty of mangroves in the periphery of project site but this mangrove has come under severe pressure due to climatic and anthropogenic reasons.","Climate Action","Bangladesh",4
"32","Education for Every Girl in India","This project will provide educational stuffs (uniform, school fees, books, sweater, notebooks, pen, pencil, stationary, etc.) to more than 1500 underprivileged poor Girls students of rural regions in Rajasthan so that they may be able to develop their educational standard. This project will help the marginalized children to get better opportunities to be educated and to contribute in the development of society.","Education","India",11
"33","Adopt-A-Cot because Babies Lives Matter!","TLC Children's Home provides high quality care for abandoned and at-risk babies and children. We care for up to 35 children under the age of 3 years old, while we work to place them into a responsible forever family. We have placed over 900 children since 1993. To continue our work, we need monthly donations of US$26,000. You can partially or fully sponsor a child in our care, starting from US$10 a month. It is US$550 a month to fully sponsor a child at TLC.","Child Protection","South Africa",2
"34","Empowering Girls and Women as Mothers","This project will build sexual reproductive knowledge, understanding including pregnancy prevention and parenting skills into 100 students and 200 women.Training will be implemented in 39 different villages in our catchment area. Lack of parental knowledge as to pregnancy prevention and parenting skills in the adults lives leads to their children being ill prepared for life as young sexually debuting teenagers. Greater Tzaneen Municipality has one of the highest HIV prevalences in the country.","Gender Equality","South Africa",15
"35","Feeding 1000 Poor Rural School Girls in Yemen","This project aims to provide nutritious breakfast meals to 1000 rural schoolgirls in Sana'a, Yemen. It will increase the number of girls in primary schools. It aims to reduce the children's hunger during the school day. It'll contribute to achieving gender equality between boys and girls. Besides, it'll increase attention span, facilitate learning, and obviate the need for children to leave school to find food. That will achieve Global Goals 4 (Quality Education) & 5 (Gender Equality).","Education","Yemen",11
"36","100 Bikes for 100 Girls","We are giving girls who live in rural and poor villages in Vietnam, bicycles to help them get to school. Many young girls walk one or more hours one way to school, and these long distances often keep them from attending regularly. Safety is another reason to give young girls bikes, as they are very often the targets of human trafficking to the sex trade and sweatshops. Bicycles are the first simple answer to improving both their safety and access to education.","Gender Equality","Vietnam",15
"37","Protect 300 Girls from Child Domestic Work in Peru","La Casa de Panchita empowers 300 girls as young as 9 and 250 women to escape 14 hour workdays, avoid abuse, attend school, and earn a fair wage. We help girls stay in school and enjoy their childhood, giving them a chance to build a better future. We also train, tutor, and give legal advice to adult domestic workers and women wishing to access the labor market in Lima.","Gender Equality","Peru",15
"38","Illuminating Futures: Enabling children","This project is dedicated to empowering and supporting children by providing them with opportunities, resources, and guidance to build a brighter future. The project focuses on various aspects of children's development, including education, health, personal growth, and skills enhancement. The key components of the project include Quality Education Access, Holistic Health and Well-being, Skill Development and Empowerment, Parental and Community Engagement Career Guidance and Aspiration Building.","Education","India",11
"39","Rescue sex workers & at-risk children in India","We provide support, empowerment, emergency rescue & healthcare to sex workers, including trafficked minors, transgenders, MSM and those affected by HIV. We enable them to become their own agents for social change, breaking the crippling cycles of exploitation. By sheltering & educating their children we prevent 2nd-generation prostitution & empower the same children to support their mothers to leave the sex trade & many also help other exploited women through social work.","Gender Equality","India",15
"40","Help keep the Ukrainian refugee center safe.","The project will be used to protect the refugee center as long as Ukrainian refugees who are tired of the war, feel safe. At least 100 to 3,000 people will be beneficiary. The center, which was built by cleaning and repairing the space that had been abandoned for 9 years, had collapsed the ceiling and water and electricity are in trouble one after another. Even the interest of other donors has disappeared, and the manpower that helped clean up has over, and staffs are exhausted. Give your help!","Justice and Human Rights","Moldova, Republic of",16
"41","Change a Girl's Life Through Microentrepreneurship","The Keep A Girl Alive project enables conflict-affected and internally displaced women and girls to become economically independent. We do it through cash transfers and long-term-coaching. For a bit more than 50$, you help a woman on her way out of poverty. On average, women make 3 times more income after being in the program, 83% of participants are out of extreme poverty today. So far, more than 390 young women of South-West Cameroon have been supported.","Gender Equality","Cameroon",15
"42","Save Newborn Lives in Syria","This campaign aims at securing the funds to purchase a number of modern ICU devices for Al-Ikhaa Specialized Hospital in north of Syria, to help in treating and saving lives of many newborn infants who need special health care in north of Syria.","Physical Health","Syrian Arab Republic",20
"43","#savethebabies: Help Children Rise out of Poverty","Jake's Diapers serves babies around the world living in devastatingly difficult situations, where sometimes a choice has to be made between food and diapers. Jake's donates cloth diapers at no cost to orphanages, rescue centers and missionaries so these organizations can afford basic living expenses and focus on a solution for problems such as malnutrition and starvation. Cloth diapers provide a long-term solution from birth through potty-training, truly changing the lives of these children.","COVID-19","United States",5
"44","Empower 50 Women in Syria with Education","This project will empower Syrian women impacted by conflict and social injustices. Amid challenges of early marriages and displacement, we aim to provide education and support to 50 women through our free online platform. Let's help them regain control over their lives, learn new skills, and shape a brighter, equitable future.","Gender Equality","Syrian Arab Republic",15
"45","Help Feed Hundreds of Hungry People","Two million Ecuadorians suffer from severe hunger according to the World Food Program. Food insecurity in Cuenca, Ecuador has been impacted by the mass migration of Venezuelan refugees, COVID, a host of natural disasters, and two national strikes. The Cuenca Soup Kitchen is committed to providing food and other assistance to families experiencing food insecurity in Cuenca, Ecuador. By addressing food insecurity, CSK provides greater access to health, education, and a more productive future.","Food Security","Ecuador",14
"46","Adopt a Tree; Protect Environment & Earth","This project is prepared to Give Reality on the ground to 5000 plantation for environmental protection. A strong effort will be done in different urban, sub-urban areas and villages by plantation to reduce the dangerous threat of global warming, which would be helpful to reduce air pollution to make healthier environment.","Climate Action","India",4
"47","Help Educate Women & Girls in Afghanistan","Since August 2021, the Taliban banned education for girls above 6th grade in Afghanistan. This put a stop to school projects in the region led by Sahar. Instead of giving up on the girls of the region, we have embraced new ways of working with local teachers and organizations to improve equity for girls in Afghanistan through multiple programs in partnership with local organizations. Current programs focus on literacy, computer skills, English, women's empowerment, sewing, and coding!","Gender Equality","Afghanistan",15
"48","Build the USAP Community School in Zimbabwe","Education Matters is building a 11th and 12th grade high school for 90 high-achieving, low-income Zimbabwean students to access quality education that values critical thinking, integrity, sustainability and compassion. The USAP Community School will prepare its students to access and excel higher education at world's top universities on scholarships with the aim of returning to Zimbabwe to build a better society. Join us in this exciting initiative to build a truly transformative school!","Education","Zimbabwe",11
"49","Less Privileged Elders Need Care & Meal Support","The less privileged elders need our love and care. This project will provide meal, medical care and recreation to 57 homeless old age persons. Every day we provide nutritious food to destitute elder, who are neglected by their families. Due to poverty some families not able to feed these older persons. Among 57 poor old age persons, some of them use to beg at neighbor houses, nearby locations to feed themselves. Our little contribution to the elderly make their world healthy and happy","Food Security","India",14
"50","Send a Child in India to School for a Year","Seva Mandir's focus is to provide access to quality education to the children in disadvantaged tribal areas through highly effective education interventions. Children are enabled to continue their education, having become confident, independent learners. Seva Mandir's approach includes mainstreaming children through bridge schools and strengthening government schools therefore, increasing their chances of retention.","Education","India",11
"51","Nourishing Hope: Serving Food for the Hunger","This project supports the 100 homeless, poor and downtrodden in and around Puducherry, India to have a meal in a day. Due to the pandemic, the economic situation is very bad and there are many people who lost their job and the economic situation is very bad. Homeless People living on pavements do not have food","Food Security","India",14
"52","Empower and Educate WISER girls in rural Kenya","WISER works with girls to transcend poverty, HIV/AIDS, and gender-based violence. We do this by creating environments that produce exceptional young women who drive change in their communities. We build self-esteem, provide access to health education and knowledge, and produce academic high achievers. This project will provide education, food, housing, clothing, psychosocial support, access to university-quality labs, computers, and hands-on learning opportunities to 240 girls.","Gender Equality","Kenya",15
"53","Seeing is Believing","Saving one person's eyesight is is helping one entire family to survive. One poor elderly person whose eye sight is saved becomes a contributing person and helps the family immediately. So far, the target was to conduct 10,000 surgeries per annum. As this target has already been achieved, we are now revising ou target to 25,000 surgeries per annum. To expand the infrastructure, the organization is starting construction of first floor of the hospital building. It is also adding retina unit also","Physical Health","India",20
"54","Raise Khanyisa Orphaned Elephant Snaring Survivor","Orphaned albino elephant, Khanyisa's journey of survival is nothing short of inspirational! Her story has touched the world. She was found in January 2020, as a four-month old calf - alone, without her herd in sight, with a poacher's snare around her cheeks and ears. Her injuries were severe. Wildlife vets estimated that she spent four days stuck in the snare. Now two years old, Khanyisa (meaning Sunshine in Shona) is fully rehabilitated and has been integrating into a rescued elephant herd.","Wildlife Conservation","South Africa",27
"55","Help Feed Hungry Children in Zimbabwe","Despite a change of leadership, nothing has changed for the ordinary citizen of Zimbabwe. Prices keep escalating and unemployment is around 99%. This project aims to assist the 250-day scholars at the local Primary School with daily nutritious lunch, essential stationery, exercise and textbooks, by assisting with these essential resources we hope to alleviate external struggles so that the children can focus on their education and continue further.","Food Security","Zimbabwe",14
"56","Emergency Appeal to Save the Lives of 40 Newborns","Your support will protect more newborn lives. We direct our appeal to you to strengthen our efforts to prevent deaths among newborns. This is a call for you to make your support a bridge for survival as whoever saves a life, it will be as if they saved all of humanity.","Physical Health","Syrian Arab Republic",20
"57","Help us educate 156 African Angels in South Africa","Poor rural children are behind the proverbial eight ball in South Africa today. 63% of youth are unemployed. Children without resources are relegated to substandard education. Poor education means a reduced chance or no chance of future employment, and so the cycle of poverty continues. Since 2012 African Angels has provided quality primary school education for South African children from poor backgrounds. Invest in this project and you are investing in nation building through education.","Education","South Africa",11
"58","Free education for 300 children in rural Cambodia","Helping Hands is a community project in one of the poorest regions of Cambodia. We provide free education, health care and a healthy nutritious breakfast to 300 children. We also provide school uniforms to enable children to attend state school, as well as running a University Scholarship Programme. Helping Hands' main vision is to give a 'hand up' not a 'hand out', we strive to empower our students and their families to enable them to break out of a life of poverty.","Education","Cambodia",11
"59","Stop Violence Against Women's in India","27,933 cases Approx of violence against women are registered in police station yearly in Rajasthan, The main objective of this project is to bring gender equality within the male dominated society, respect for women, end social malpractices, decrease in dowry system, END child Marriage and women should also have equal rights in society.","Gender Equality","India",15
"60","Hope for begging talibe children, St-Louis Senegal","1000s of boys between 4 and 19, ""talibes"", beg on the streets of Senegal for their food and for money to give the ""teacher"" who controls them. Maison de la Gare's center in Saint-Louis is a secure base for 100s of these boys each day, and a beacon of hope for 1000s more. The center offers literacy classes, a sports program, instruction in basic hygiene, medical care, art workshops, apprenticeship training and much more. Facing Covid-19, also urgent nutritional and hygiene support in daaras.","Child Protection","Senegal",2
"61","Give school & love to abandoned girls in Mexico","Abandoned and abused girls have the right to a family and should be protected. Every child deserves a loving family and education. Puerta Abierta is giving the tools to the girls so they can achieve their life project to become responsible, self-sufficient and independent adults. They will build healthy families and will not permit the abuse they suffered as they have learned to respect and love and won't repeat the pattern that hurt them. Being well educated and loved will change them forever","Child Protection","Mexico",2
"62","Education & food for 600 children in Guatemala","Only 30% of children who start primary school education reach grade six at the correct age and even less go onto secondary school. Having provided primary education for 3,000 children to date we are now concentrating on putting between 600-1000 students through secondary school and college over the next ten years. We also supply extra school materials to primary school students thus helping to provide education from primary school to college.","Education","Guatemala",11
"63","Help Care for Rescued Animals in Cambodia","Wildlife Alliance rehabilitates animals rescued from Cambodia's illegal trade at Phnom Tamao Wildlife Rescue Center. After a period of care, ~80% are released into protected habitat. Animals unsuited for release are provided a permanent home in large, natural enclosures customized to their needs. Threatened species with good release prospects are able to bond and mate. Captive-bred offspring are released to bolster wild populations and species once extirpated are reintroduced to native sites.","Wildlife Conservation","Cambodia",27
"64","Shelter of Hope: Empowering the Homeless","Let us help those living in the shadows of society in Pondicherry. We aim to establish a centre for the homeless and offer them services to improve their quality of life. Our project will provide empowerment, counselling, de-addiction and vocational training to help these individuals transition from a life of poverty to integrated members of our society.","Economic Growth","India",9
"65","Save Maternal and Infant Lives in Pakistan","This zakat-eligible project supports maternal and infant health for poor villagers and urban slum dwellers within Pakistan. Pakistan has the highest Infant Mortality Rate in the World and also accounts for 28 percent of the global Maternal Mortality Rate. 80 percent of Pakistan's infant deaths and over 33 percent of its maternal deaths are preventable - join the fight to save lives by sponsoring maternal and infant health within the HOPE USA hospital network!","Physical Health","Pakistan",20
"66","Providing health care to 1000s in Bujumbura slum","The Ntaseka Clinic in Kamenge slum of Bujumbura provides health care for survivors of rape and gender based violence, support for 330 HIV+ individuals, trauma healing workshops for raped and abused women, and health care for children and the general population. This includes AIDS testing and support for those who are HIV+. Founded in 2002 with a fulltime staff of seventeen, it services more than 10000 people each year.","Physical Health","Burundi",20
"67","Support Small Farmers in India","Seva Mandir seeks to help small farmers and their families in rural areas of southern Rajasthan in India, by enhancing their livelihood and improving their food and nutritional intake. In this project, farmers will be supported with high quality seeds, setup fruit orchids and vegetable plantation and capacity building trainings in agricultural techniques. The project will also work on increasing availability of water for irrigation by constructing and repairing Water Harvesting Structures.","Food Security","India",14
"68","Mrs. Najah's Kitchen - Gaza Emergency Meals","My name is Najah and I am a refugee, born and raised in a refugee camp in Rafah, in the Gaza Strip. I have been providing services to empower women and their families in Rafah, Gaza for over 18 years as the Executive Director of the Women Programs Center-Rafah. We are made vulnerable by the Covid-19 pandemic, the overwhelming collapse of our local economy, homes destroyed by bombing, little electricity, damaged water supply. Families are hungry. Please help me feed them through the year ahead.","Food Security","Palestine",14
"69","Save children's lives in Syria","This project aims to secure funds to sponsor and treat 50 patients of vulnerable displaced children in northern Syria","Physical Health","Syrian Arab Republic",20
"70","Keep a student in school","Education is the greatest equaliser. It gives children, even from the humblest of backgrounds, a fighting chance in life - a ticket that we all aspire. This ticket, however, is not available to all children. Nearly one million primary school -aged children in Kenya are still out-of-school - the ninth highest number of any country in the world, mostly due to poverty (Oxfam, 2017). Affecto plans to educate 400 students every year. Currently 86 students are beneficiaries of the program.","Education","Kenya",11
"71","Give school and love to abandoned orphans","The project is run by Chinseu Community Based Organisation. The death of young adults from HIV-AIDS and associated illnesses has left many orphans to be cared for by the community. The CBO makes it possible for children to live with volunteer families by providing food and other necessities. Volunteer caregivers also provide a safe play and learning space for the orphans and other vulnerable children under-five. Children, Teenagers creates dramas, to explore human and child rights activities.","Child Protection","Malawi",2
"72","Build Bright future for 750 marginalized Girls","This Project Will provide a Sustainable Livelihood to 750 marginalized Girls of 15-24 age Group & 18-35 (youth) age group by Vocational skill training of Computer Education, Beautician, fashion designing & Sewing, Handicraft and Hand Bag making etc. Bank loan will be providing through the project in order to settle self employment unit whereby the marginalized Girls of Rural area will get Better and Golden future.","Gender Equality","India",15
"73","Street Lawyers, Doctors, Hope Buses for Iraqi Kids","The Iraqi Children Foundation intervenes in the lives of children who are vulnerable to abuse, neglect, and exploitation by criminals, human traffickers, and extremists. Street Lawyers, social workers, doctors, and Hope Buses deliver education, food, legal protection, medical care, and psycho-social services to at-risk orphans, child laborers, street kids, and the disabled.","Child Protection","Iraq",2
"74","Safeguarding Ol Pejeta's Rhino Populations","Wildlife on Ol Pejeta faces increasing threats from climate change, poaching and more. Home to 167 black rhinos - the largest population of black rhinos in East and Central Africa, as well as the last two northern white rhinos, Ol Pejeta is one of the most important wildlife conservancies in the world. By monitoring wildlife, engaging with the community and ranger patrols, our teams work 24/7 to safeguard these rhinos. Your support is urgently needed so that we can continue these key programs.","Wildlife Conservation","Kenya",27
"75","Educate after school-underprivilege children-India","This project will promote academic success, pay school fees, school kit to under privileged and to tribal children. This project will ensure the children education without drop-out. 241 child labor tribal children who have been mainstreamed also benefitted in this program. Afterschool program, a safe space that support healthy social and emotional development, and promote academic success. Educating the under privileged ultimately will make a change for whole family and future generations.","Child Protection","India",2
"76","Help 100 traumatized Palestinian children succeed","Since 1925 the Spafford Children's Center (SCC) in East Jerusalem has served the Palestinian population. Currently, SCC provides treatment for trauma reactions in children who have experienced violence in their communities as well as family stress. For decades children struggling in overcrowded schools have received SCC's individualized tutoring in Arabic, English, and math. The SCC also provides speech and occupational therapy, plus art, dance, music, and recreational programs.","Education","Palestine",11
"77","Child Sponsorship","Our Child sponsorship is a unique program that connects one child in need with one compassionate person like you! This program is giving children our children a chance to grow up healthy, educated, and safe - forever changing their life and future. You just might find that it changes you, too.","Child Protection","India",2
"78","Darussafaka Society","Darussafaka Society, the first NGO in Turkish history in the field of education, was founded in 1863 in the Ottoman era, with the mission of providing ""equality of opportunity in education."" Bright and talented children who have lost one of their parents and have limited financial resources become eligible to study at Darussafaka after passing a competitive exam when they are ten years old, and Darussafaka provides them access to quality education at international standards.","Education","Turkey",11
"79","Fund a teacher and teach a class in Latin America","The majority of rural schools in the countries where we work often only have one teacher for two or three grades at the same time. They set work for one grade and move to the next with no time to answer questions. Despite the teachers' best efforts the children are unable to receive a full education, especially when their parents can't help with homework due to being unable to read and write themselves. By providing one local teacher per grade the children can receive more one-to-one attention.","Education","Guatemala",11
"80","Replanting Rainforest in Sumatra, Indonesia","We are working to rewild vital orangutan habitat that has been destroyed by illegal oil palm plantations within the Gunung Leuser National Park. We're seeing some really exciting results, with lots of wildlife starting to return to the restored areas of forest - including orangutans, elephants, sun bears, gibbons, leopard cats and many endangered bird species. We work with the local people, empowering, educating and encouraging them to become guardians of their forests and wildlife.","Ecosystem Restoration","Indonesia",10
"81","Big Rhinos Need Big Hearts Too","Mature rhinos need as much support and love as the younger ones! In fact, even more so, as security concerns increase daily. Just because they are older and possibly a little less cute, does not make them any less vulnerable. We have 3 strong and incredible rhino survivors in our care that still need our support, commitment, love, and most importantly, protection. This comes with great financial costs that keep rising, and we can't do it alone. We need all the help we can get.","Wildlife Conservation","South Africa",27
"82","Helping medical students become better doctors","In India, medical/health sciences students waste precious hours as they are not taught structured online searching & referencing skills. These are skills needed for good research and for evidence based healthcare services. QMed teaches these skills to students as well as professionals of health sciences. Our courses are online and they learn at their pace. They also get mentoring sessions. We now aim for accreditation of our courses so that all in the health sector learns these vital skills.","Education","India",11
"83","Support 450 People Living with Disabilities","This program is for the empowerment of the disabled in which all types of 450 Deprived people with disabilities will be provided better health, education, livelihood & also linked to social security and along with this they will also be provided the help of assistive devices and materials.","Disability Rights","India",7
